20231027120000, 37.774929, N, 122.419416, W, 25.0, 100.0
20231027120001, 37.774950, N, 122.419450, W, 26.0, 101.0
20231027120002, 37.775000, N, 122.419500, W, 27.0, 102.0
20231027120003, 37.775050, N, 122.419550, W, 26.5, 101.5
20231027120004, 37.775100, N, 122.419600, W, 26.0, 101.0
20231027120005, 37.775150, N, 122.419650, W, 25.5, 100.5
20231027120006, 37.775200, N, 122.419700, W, 25.0, 100.0
20231027120007, 37.775250, N, 122.419750, W, 24.5, 99.5
20231027120008, 37.775300, N, 122.419800, W, 24.0, 99.0
20231027120009, 37.775350, N, 122.419850, W, 23.5, 98.5
